_a: u
_continued: ku,un:ti,in:nU,Ud
_continues: ku,un:ti,in:nU,Us
_contract: ka,an:tr@,@kt
_contracted: ka,an:tr@,@k:ti,id
_contracting: ka,an:tr@,@k:t1,1ng
_contracts: ka,an:tr@,@kts
_contrast: ka,an:tr@,@st
_contrasted: ka,an:tr@,@s:ti,id
_contrasting: ka,an:tr@,@s:t1,1ng
_contrasts: ka,an:tr@,@sts
_contribute: ku,un:tri:bU,Ut
_contributed: ku,un:tri:bU:ti,id
_contributes: ku,un:tri:bU,Uts
_contributing: ku,un:tri:bU:t1,1ng
_contribution: ka,an:tri:bU:shi,in
_contributions: ka,an:tri:bU:shi,ins
_contributor: ku,un:tri:bU:t3
_control: ku,un:tr0,0l
_controlled: ku,un:tr0,0ld
_controls: ku,un:tr0,0ls
_conversation: ka,an:v3:sA:shi,in
_conversations: ka,an:v3:sA:shi,ins
_convince: ki,in:vi,ins
_convinced: ku,un:vi,insd
_convinces: ki,in:vi,in:si,iz
_convincing: ku,un:vi,in:s1,1ng
_cook: k6,6k
_cooked: k6,6kd
_cooking: k6:k1,1ng
_cooks: k6,6ks
_cool: ko,ol
_cooler: ko:l3
_coolest: ko:li,ist
_coolio: ko:lE:O
_copied: ka:pE,Ed
_copies: ka:pE,Es
_copy: ka:pE
_copycat: ka:pE:k@,@t
_copying: ka:pE:1,1ng
_core: k0,0r
_cores: k0,0rs
_corner: k0,0r:n3
_cornered: k0,0r:n3,3d
_corners: k0,0r:n3,3z
_corporate: k0,0r:pri,it
_corporated: k0,0r:p3:ra:ddi,id
_corporates: k0,0r:pri,its
_corpses: k0,0rp:si,iz
_correct: k3:re,ekt
_corrected: k3:re,ek:ti,id
_correcting: k3:re,ek:t1,1ng
_correctly: k3:re,ekt:lE
_corrects: k3:re,ekts
_cost: ka,ast
_costs: ka,asts
_could: k6,6d
_couldnt: k6:di,int
_couldve: k6:du,uv
_count: k8,8nt
_counted: k8,8n:ti,id
_counting: k8,8n:t1,1ng
_countries: ku,un:trE,Es
_country: ku,un:trE
_countrys: ku,un:trE,Es
_counts: k8,8nts
_county: ku,un:trE
_couple: ku:p0,0l
_coupled: ku:p0,0ld
_couples: ku:p0,0ls
_course: c0,0rs
_courses: c0,0r:si,iz
_court: k0,0rt
_courted: k0,0r:ti,id
_courts: k0,0rts
_cover: ku:v3
_coverage: ku,uv:ri,ij
_coveraged: ku,uv:ri,ijd
_coverages: ku,uv:ri,ijs
_coveraging: ku,uv:ri:j1,1ng
_covered: ku:v3,3d
_covers: ku:v3,3s
_crazier: krA:zE:3
_crazies: krA:zE,Ez
_craziest: krA:zE:i,ist
_crazy: krA:zE
_crazys: krA:zE,Ez
_cream: krE,Em
_creamed: krE,Emd
_creaming: krE:m1,1ng
_creams: krE,Ems
_create: krE:A,At
_created: krE:A:ti,id
_creates: krE:A,Ats
_creation: krE:A:shi,in
_creations: krE:A:shi,ins
_creative: krE:A:ti,iv
_creatively: krE:A:ti,iv:lE
_credit: kre:di,it
_credited: kre:di:ti,id
_credits: kre:di,its
_crew: kro
_crews: kro,oz
_cried: krI,Id
_cries: krI,Iz
_crime: krI,Im
_crimes: krI,Ims
_criminal: kri:mi:n0,0l
_criminals: kri:mi:n0,0ls
_crises: krI:sE,Ez
_crisis: krI:si,is
_critic: kri:ddi,ik
_critical: kri:ti:k0,0l
_critically: kri:ti,ik:lE
_criticals: kri:ti:k0,0ls
_criticism: kri:ti:si:zu,um
_criticisms: kri:ti:si:zu,ums
_critics: kri:ddi,iks
_cross: kra,as
_crossed: kra,asd
_crosses: kra:si,iz
_crossing: kra:s1,1ng
_crouched: cr8,8cht
_crowd: kr8,8d
_crowded: kr8:di,id
_crowding: kr8:d1,1ng
_crowds: kr8,8ds
_cruel: kro,ol
_cry: krI
_crying: krI:1,1ng
_crystal: kri,is:t0,0l
_cultural: ku,ul:ch3:r0,0l
_culture: k0,0l:ch3
_cultures: k0,0l:ch3,3s
_cup: ku,up
_cupped: ku,upd
_cups: ku,ups
_current: c3,ri,int
_currently: k3:ri,int:lE
_currents: c3,ri,ints
_curriculum: k3:ri:kU:lu,um
_curriculums: k3:ri:kU:lu,ums
_curse: k3,3s
_customer: ku,us:ti:m3
_customers: ku,us:ti:m3,3z
_cut: ku,ut
_cuts: ku,uts
_cuz: ku,uz
_d: d
_dad: d@,@d
_dads: d@,@ds
_daily: dA:lE
_dailys: dA:lE,Es
_damage: d&:mi,ij
_damaged: d&:mi,ijd
_damages: d&:mi:ji,iz
_damaging: d&:mi:j1,1ng
_damn: d&,&m
_dance: d&,&ns
_danced: d&,&nsd
_dances: d&,&n:si,iz
_dancing: d&,&n:s1,1ng
_danger: dA,An:j3
_dangered: dA,An:j3,3d
_dangerous: dA,An:j3:ri,is
_dangerously: dA,An:j3:ri,is:lE
_dangers: dA,An:j3,3z
_dark: da,ark
_darker: da,ar:k3
_darkest: da,ar:ki,ist
_darkness: da,ark:ni,is
_darks: da,arks
_data: dA:tu
_datas: dA:tu,us
_date: dA,At
_dated: dA:ti,id
_dates: dA,Ats
_dating: dA:t1,1ng
_daughter: d9:t3
_daughterd: d9:t3,3d
_daughters: d9:t3,3z
_dawn: d9,9n
_day: dA
_days: dA,Az
_dead: de,ed
_deadly: de,ed:lE
_deal: dE,El
_deals: dE,Els
_dealt: de,elt
_death: de,eth
_deaths: de,eths
_debate: du:bA,At
_debated: du:bA:ti,id
_debates: du:bA,Ats
_debating: du:bA:t1,1ng
_debt: de,et
_debts: de,ets
_decade: de:kA,Ad
_decades: de:kA,Ads
_decide: dE:sI,Id
_decided: dE:sI:di,id
_decides: dE:sI,Ids
_decision: dE:si:shi,in
_decisions: dE:si:shi,ins
_declare: di:klA,Ar
_declared: di:klA,Ard
_declares: di:klA,Ars
_declaring: di:klA,Ar:1,1ng
_decline: di:klI,In
_declined: di:klI,Ind
_declines: di:klI,Ins
_declining: di:klI:n1,1ng
_deep: dE,Ep
_deeper: dE:p3
_deepest: dE:pi,ist
_deeply: dE,Ep:lE
_deeps: dE:Eps
_defeat: dE:fE,Et
_defend: di:fe,end
_defended: di:fe,en:di,id
_defending: di:fe,en:d1,1ng
_defends: di:fe,ends
_defense: dE:fe,ens
_defenses: dE:fe,en:si,iz
_define: di:fI,In
_defined: di:fI,Ind
_defines: di:fI,Inz
_defining: di:fI:n1,1ng
_definitely: de:fi:ni,it:lE
_definition: de:fi:ni:shi,in
_definitions: de:fi:ni:shi,ins
_degree: di:grE
_degrees: di:grE,Ez
_deliver: du:li:v3
_delivered: du:li:v3,3d
_delivering: du:li:v3:r1,1ng
_delivers: du:li:v3,3z
_demand: di:m&,&nd
_demanded: di:m&,&n:di,id
_demanding: di:m&,&n:d1,1ng
_demands: di:m&,&ndz
_democracy: de:ma:kri:sE
_democracys: de:ma:kri:sE,Es
_democrat: de:mO:kr@,@t
_democratic: de:mO:kr@:ti,ik
_democrats: de:mO:kr@,@ts
_demons: dE:mi,inz
_demonstrate: de:mi,in:strA,At
_demonstrated: de:mi,in:strA:ti,id
_demonstrates: de:mi,in:strA,Ats
_demonstrating: de:mi,in:strA:t1,1ng
_denied: di:nI,Id
_denies: di:nI,Iz
_deny: di:nI
_denying: di:nI:1,1ng
_department: di:pa,art:mi,int
_departments: di:pa,art:mi,ints
_depend: du:pe,end
_depended: du:pe,en:di,id
_depending: du:pe,en:d1,1ng
_depends: du:pe,ends
_depressed: dE:pre,esd
_depressing: dE:pre:s1,1ng
_depression: dE:pre:shi,in
_depressions: dE:pre:shi,ins
_describe: di,is:krI,Ib
_described: di,is:krI,Ibd
_describes: di,is:krI,Ibs
_desert: de:z3,3t
_design: dE:sI,In
_designed: dE:zI,Ind
_designing: dE:zI:n1,1ng
_designs: dE:sI,Ins
_desire: di:zI:3
_desired: di:zI:3,3d
_desires: di:zI:3,3s
_desiring: di:zI:3:r1,1ng
_desk: de,esk
_desks: de,esks
_despite: di,is:pI,It
_destiny: de,es:ti:nE
_destroy: di,is:trQ
_destroyed: di,is:trQ,Qd
_destroying: di,is:trQ:1,1ng
_destroys: di,is:trQ,Qz
_destruction: di,is:tru,uk:shi,in
_detail: dE:t9,9l
_detailed: dE:t9,9ld
_details: dE:t9,9lz
_determine: dE:t3:mi,in
_determined: dE:t3:mi,ind
_determines: dE:t3:mi,ins
_develop: dE:ve,el:lu,up
_developed: dE:ve,el:lu,upd
_development: dE:ve,el:u,up:me,ent
_developments: dE:ve,el:u,up:me,ents
_develops: dE:ve,el:lu,ups
_device: di:vI,Is
_devices: di:vI:si,iz
_diamonds: dI:mi,inz
_did: di,id
_didnt: di:ddi,int
_die: dI
_died: dI,Id
_dies: dI,Iz
_difference: di,if:ri,ins
_differences: di,if:ri,in:si,is
_different: di,if:ri,int
_difficult: di:fi:k0,0lt
_difficulties: di:fi:k0,0l:tE,Ez
_difficulty: di:fi:k0,0l:tE
_dinner: di:n3
_dinners: di:n3,3z
_direct: dI:re,ekt
_directed: dI:re,ek:ti,id
_directing: dI:re,ek:t1,1ng
_direction: di:re,ek:shi,in
_directions: di:re,ek:shi,ins
_directly: dI:re,ek:lE
_director: dI:re,ek:t0,0r
_directors: dI:re,ek:t0,0rs
_directs: dI:re,ekts
_disagree: di:su:grE
_disappear: di:su:pE,Er
_disappeared: di:su:pE,Erd
_disappears: di:su:pE,Ers
_discover: di,is:ku:v3
_discovered: di,is:ku:v3,3d
_discovering: di,is:ku:v3:r1,1ng
_discovers: di,is:ku:v3,3z
_discovery: di,is:ku:v3:rE
_discuss: di,is:ku,us
_discussed: di,is:ku,usd
_discusses: di,is:ku:si,iz
_discussing: di,is:ku:s1,1ng
_discussion: di,is:ku:shi,in
_discussions: di,is:ku:shi,ins
_disease: di:zE,Ez
_diseased: di:zE,Ezd
_diseases: di:zE:zi,iz
_dish: di,ish
_dishes: di:shi,iz
_display: di,is:plA
_displayed: di,is:plA,Ad
_displaying: di,is:plA:1,1ng
_displays: di,is:plA,Az
_dissolved: di,is:zO,Olv
_distance: di:sti,ins
_distances: di:sti,in:si,iz
_district: di,is:tri,ik
_districts: di,is:tri,iks
_divide: di:vI,Id
_divided: di:vI:ddi,id
_divides: di:vI,Ids
_dividing: di:vI:dd1,1ng
_division: di:vi:zhi,in
_divisions: di:vi:zhi,ins
_do: do
_doctor: da,ak:t3
_doctored: da,ak:t3,3d
_doctors: da,ak:t3,3z
_document: da:kU:mi,int
_documents: da:kU:mi,ints
_does: du,uz
_dog: da,ag
_dogged: da,agd
_dogs: da,ags
_doing: do:1,1ng
_domestic: du:me:sti,ik
_don: da,an
_done: du,un
_donned: d9,9nd
_dont: dO,Ont
_doom: do,om
_door: d0,0r
_doors: d0,0rs
_doubt: d8,8t
_doubted: d8:dd1,1d
_doubting: d8:dd1,1ng
_doubts: d8,8ts
_down: d8,8n
_downd: d8,8nd
_downs: d8,8ns
_dozen: du:zi,in
_dozens: du:zi,ins
_drag: dr@,@g
_dragged: dr@,@gd
_dragging: dr@:g1,1ng
_drags: dr@,@gz
_drain: drA,An
_dramatic: dru:m@:ti,ik
_drank: dr&,&nk
_draped: drA,Apt
_draw: dra
_draws: dra,as
_dream: drE,Em
_dreamed: drE,Emd
_dreaming: drE:m1,1ng
_dreams: drE,Ems
_dreamt: dre,emt
_dress: dre,es
_dressed: dre,esd
_dresses: dre:si,is
_dressing: dre:s1,1ng
_drew: drU
_dried: drI,Id
_dries: drI,Is
_drink: dr1,1nk
_drinking: dr1,in:k1,1ng
_drinks: dr1,1nks
_drive: drI,Iv
_driven: dri:vi,in
_driver: drI:v3
_drivers: drI:v3,3z
_drives: drI,Ivz
_driving: drI:v1,1ng
_drop: dra,ap
_dropped: dra,apd
_drops: dra,aps
_drove: drO,Ov
_drown: dr8,8n
_drug: dru,ug
_drugged: dru,ugd
_drugs: dru,ugs
_drunk: dru,unk
_dry: drI
_drying: drI:1,1ng
_due: do
_dues: do,oz
_during: d3:r1,1ng
_dust: du,ust
_duties: do:ddE,Ez
_duty: do:ddE
_dying: dI:1,1ng
_e: e
_each: E,Ech
_ear: E,Er
_earlier: 3:lE:3
_earliest: 3:lE:i,ist
_early: 3:lE
_earn: 3,3n
_earned: 3,3nd
_earning: 3:n1,1ng
_earns: 3,3nz
_ears: E,Erz
_earth: 3,3th
_earths: 3,3ths
_ease: E,Ez
_easier: E:zE:y3
_easiest: E:zE:yi,ist
_easily: E:zu:lE
_east: E,Est
_eastern: E:st3,3n
_easterners: E:st3:n3,3z
_easts: E,Ests
_easy: E:zE
_eat: E:Et
_eaten: E:ti,in
_eating: E:t1,1ng
_eats: E:Ets
_echoed: e:kO,Od
_echoing: e:kO:1,1ng
_economic: e:kO:na:mi,ik
_economics: e:kO:na:mi,iks
_economies: e:ka:nO:mE,Ez
_economy: e:ka:nO:mE
_edge: e,ej
_edges: e:ji,iz
_edgier: e:ji:3
_edgiest: e:ji:yi,ist
_editor: e:di:t3
_editors: e:di:t3,3z
_educated: e:ju:kA:ti,id
_education: e:ju:kA:shi,in
_educational: e:jo:kA:shi:n0,0l
_educations: e:ju:kA:shi,ins
_effect: E:fe,ekt
_effected: E:fe,ek:ti,id
_effective: u:fe,ek:ti,iv
_effects: E:fe,ekts
_effort: e:f3,3t
_efforts: e:f3,3ts
_egg: e,eg
_eggs: e,egz
_eight: A,At
_eights: A,Ats
_either: E:dh3
_eitherd: E:dh3,3d
_elect: u:le,ekt
_elected: u:le,ek:ti,id
_election: u:le,ek:shi,in
_elections: u:le,ek:shi,ins
_elects: u:le,ekts
_element: e:lu:mi,int
_elemental: e:lu:me,en:t0,0l
_elements: e:lu:mi,ints
_eliminate: E:li:mi,in:nA,At
_eliminated: E:li:mi,in:nA:ddi,id
_eliminates: E:li:mi,in:nA,Ats
_eliminating: E:li:mi,in:nA:dd1,1ng
_else: e,els
_email: E:m9,9l
_emailed: E:m9,9ld
_emailing: E:m9,9l:l1,1ng
_emails: E:m9,9lz
_emerge: i:m3,3j
_emerged: i:m3,3jd
_emergencies: E:m3:ji,in:sE,Es
_emergency: E:m3:ji,in:sE
_emerges: i:m3:ji,iz
_emerging: i:m3:j1,1ng
_emoted: E:mO:ti,id
_emoting: E:mO:t1,1ng
_emotion: E:mO:shi,in
_emotional: E:mO:shi,in:n0,0l
_emotions: E:mO:shi,ins
_emphasize: e,em:fu:sI,Iz
_emphasized: e,em:fu:sI,Izd
_emphasizes: e,em:fu:sI:zi,iz
_emphasizing: e,em:fu:sI:z1,1ng
_employ: i,im:plQ
_employee: i,im:plQ:E
_employees: i,im:plQ:E,Ez
_employs: i,im:plQ,Qz
_emptied: e,emp:tE,Ed
_empties: e,emp:tE,Ez
_emptiness: e,emp:tE:ni,is
_empty: e,emp:tE
_emptying: e,emp:tE:1,1ng
_encourage: i,in:k3:ri,ij
_encouraged: i,in:k3:ri,ijd
_encourages: i,in:k3:ri:ji,iz
_encouraging: i,in:k3:ri:j1,1ng
_end: e,end
_ended: e,en:di,id
_ending: e,en:d1,1ng
_endlessly: e,end:li,is:lE
_ends: e,ends
_enemies: e:ni:mE,Ez
_enemy: e:ni:mE
_enemys: e:ni:mE,Ez
_energies: e:n3:jE,Ez
_energy: e:n3:jE
_engage: i,in:gA,Aj
_engaged: i,in:gA,Ajd
_engages: i,in:gA:ji,iz
_engaging: i,in:gA:j1,1ng
_engine: e,en:ji,in
_engineer: e,en:ji:nE,Er
_engineered: e,en:ji:nE,Erd
_engineering: e,en:ji:nE,3:r1,1ng
_engineers: e,en:ji:nE,Ers
_engines: e,en:ji,ins
_english: 1,1ng:gli,ish
_enjoy: i,in:jQ
_enjoyed: i,in:jQ,Qd
_enjoying: i,in:jQ:1,1ng
_enjoys: i,in:jQ,Qz
_enormous: i:n0,0r:mi,is
_enough: E:nu,uf
_enoughs: E:nu,ufs
_ensure: i,in:sh3
_ensured: i,in:sh3,3d
_ensures: i,in:sh3,3z
_ensuring: i,in:sh3:r1,1ng
_enter: e,en:t3
_entered: e,en:t3,3d
_enters: e,en:t3,3z
_entire: i,in:tI,Ir
_entirely: i,in:tI:3:lE
_environment: e,en:vI:y3:mi,int
_environmental: e,en:vI:y3:me,en:t0,0l
_environmentalist: e,en:vI:y3:me,en:t0,0l:li,ist
_environmentalists: e,en:vI:y3:me,ent:t0,0l:li,ists
_equal: E:kw0,0l
_equaled: E:kw0,0ld
_equaling: E:kw0,0l:l1,1ng
_equals: E:kw0,0lz
_equipment: u:kwi,ip:mi,int
_equipments: u:kwi,ip:mi,ints
_era: A,Ar:ru
_eras: A,Ar:ru,uz
_escape: i,is:kA,Ap
_escaped: i,is:kA,Apd
_escapes: i,is:kA,Aps
_escaping: i,is:kA:p1,1ng
_especially: e:spe:shu,ul:lE
_essential: i:se,en:sh0,0l
_essentials: i:se,en:sh0,0ls
_establish: i,is:t@:bli,ish
_established: i,is:t@:bli,ishd
_establishes: i,is:t@:bli:shi,iz
_establishing: i,is:t@:bli:sh1,1ng
_estate: i,is:tA,At
_estates: i,is:tA,Ats
_estimate: e,es:ti,im:mA,At
_estimated: e,es:ti,im:mA:ti,id
_estimates: e,es:ti,im:mA,Ats
_estimating: e,es:ti,im:mA:t1,1ng
_eternity: E:t3:ni:tE
_ethnic: e,eth:ni,ik
_ethnics: e,eth:ni,iks
_european: y3:u:pE:i,in
_europeans: y3:u:pE:i,ins
_ev: e,ev
_even: E:vi,in
_evening: E,Ev:n1,1ng
_evenings: E,Ev:n1,1ngz
_evens: E:vi,ins
_event: E:ve,ent
_events: E:ve,ents
_eventually: u:ve,en:cho:w0,0l:lE
_ever: e:v3
_everd: e:v3,3d
_every: e,ev:rE
_everybody: e,ev:rE:ba:dE
_everybodys: e,ev:rE:ba:dE,Ez
_everyone: e,ev:rE:wu,un
_everyoned: e,ev:rE:wu,und
_everyones: e,ev:rE:wu,uns
_everything: e,ev:rE:th1,1ng
_everythingd: e,ev:rE:th1,1ngd
_everythings: e,ev:rE:th1,1ngz
_everywhere: e,ev:rE:wA,Ar
_evidence: e:vi:di,ins
_exactly: i,ik:z@,@kt:lE
_examine: i,ik:z&:mi,in
_examined: i,ik:z&:mi,ind
_examines: i,ik:z&:mi,inz
_examining: i,ik:z&:mi:n1,1ng
_example: e,ek:s&,&m:p0,0l
_examples: e,ek:s&,&m:p0,0ls
_excellence: e,ek:su:li,ins
_excellent: e,ek:su:li,int
_except: e,ek:se,ept
_exchange: i,iks:ch&,&nj
_exchanged: i,iks:ch&,&njd
_exchanges: i,iks:ch&,&n:ji,iz
_exchanging: i,iks:ch&,&n:j1,1ng
_executive: e,ek:se:kU:ti,iv
_executives: e,ek:se:kU:ti,ivz
_exercise: e,ek:s3:sI,Iz
_exercises: e,ek:s3:sI:zi,iz
_exist: i,ig:zi,ist
_existed: i,ig:zi,is:ti,id
_existing: i,ig:zi,is:t1,1ng
_exists: i,ig:zi,ists
_expand: e,eks:p&,&nd
_expect: e,eks:pe,ekt
_expectation: e,ek:pe,ek:tA:shi,in
_expectations: e,ek:pe,ek:tA:shi,ins
_expected: e,eks:pe,ek:ti,id
_expects: e,eks:pe,ekts
_expended: e,eks:pe,en:di,id
_expending: e,ex:pe,en:d1,1ng
_expends: e,eks:pe,end
_expensive: e,eks:pe,en:si,iv
_experience: e,ek:spE,3:rE:e,ens
_experienced: e,ek:spE,3:rE:i,insd
_experiences: e,ek:spE,3:rE:i,in:si,is
_experiment: i,ik:spE,Er:ru:mi,int
_experimental: i,ik:spE,Er:ri:me,en:t0,0l
_experimenting: i,ik:spE,Er:ru:me,en:t1,1ng
_experiments: i,ik:spE,Er:ru:mi,ints
_expert: e,ek:sp3,3t
_experts: e,ek:sp3,3ts
_explain: e,eks:plA,An
_explained: e,eks:plA,And
_explains: e,eks:plA,Ans
_explanation: e,eks:plu:nA:shi,in
_explanations: e,eks:plu:nA:shi,ins
_explore: e,eks:pl0,0r
_explored: e,eks:pl0,0rd
_explorer: e,eks:pl0,0r:3
_explores: e,eks:pl0,0rs
_exploring: e,eks:pl0,0r:r1,1ng
_expose: e,ek:spO,Oz
_exposed: e,ek:spO,Ozd
_exposes: e,ek:spO:zi,iz
_exposing: e,ek:spO:z1,1ng
_express: e,eks:spre,es
_expressed: e,eks:spre,esd
_expresses: e,eks:spre:si,iz
_expressing: e,eks:spre:s1,1ng
_expression: e,ek:spre:shi,in
_expressions: e,ek:spre:shi,ins
_extend: i,iks:ste,end
_extended: i,iks:ste,end:di,id
_extending: i,iks:ste,en:d1,1ng
_extends: i,iks:ste,ends
_extension: e,ek:te,en:shi,in
_extent: i,iks:te,ent
_extents: i,iks:te,ents
_extra: e,eks:tru
_extras: e,eks:tru,us
_extremely: i,iks:trE,Em:lE
_eye: I
_eyed: I,Id
_eyes: I,Iz
_face: fA,As
_faced: fA,Asd
_faces: fA:si,is
_facilities: fu:si:li:tE,Ez
_facility: fu:si:li:tE
_facing: fA:s1,1ng
_fact: f@,@ct
_factor: f@,@k:t3
_factored: f@,@k:t3,3d
_factories: f@,@k:t3:rE,Ez
_factors: f@,@k:t3,3z
_factory: f@,@k:t3:rE
_factorys: f@:@k:t3:rE,Ez
_facts: f@,@cts
_faculty: fu:si:li:ddE
_fade: fA,Ad
_fading: fA:d1,1ng
_fail: f9,9l
_failed: f9,9ld
_failing: f9,9l:l1,1ng
_fails: f9,9lz
_failure: f9,9l:y3
_failures: f9,9l:y3,3z
_fair: fA,Ar
_fairer: fA,Ar:3
_fairest: fA,Ar:i,ist
_fairly: fA,Ar:lE
_fairs: fA,Ars
_fairy: fA,Ar:rE
_faith: fA,Ath
_faithful: fA,Ath:f0,0l
_faiths: fA,Aths
_fake: fA,Ak
_fall: f9,9l
_falling: f9:l1,1ng
_falls: f9,9ls
_falter: f9,9l:t3
_familiar: fu:mi:lE:3
_familiars: fu:mi:lE:3,3z
_families: f&,&m:mu:lEz
_family: f&,&m:mu:lE
_familys: f&,&m:mu:lEs
_famous: fA:mi,is
_famously: fA:mi,is:lE
_fan: f&,&n
_fans: f&,&ns
_far: fa,ar
_farewell: fA,Ar:we,el
_farm: fa,arm
_farmed: fa,armd
_farmer: fa,ar:m3
_farmers: fa,ar:m3,3s
_farming: fa,ar:m1,1ng
_farms: fa,armz
_fars: fa,ars
_farther: fa,ar:th3
_farthest: fa,ar:thi,ist
_fashion: f@:shi,in
_fashioned: f@:shi,ind
_fashions: f@:shi,ins
_fast: f@,@st
_faster: f@,@s:t3
_fastest: f@,@s:ti,ist
_fasts: f@,@sts
_fat: f@,@t
_fate: fA,At
_fateful: fA,At:f0,0l
_fates: fA,Ats
_father: fa:th3
_fathered: f@:th3,3d
_fathers: f@:th3,3s
_fats: f@,@ts
_fatter: f@:dd3
_fattest: f@:ddi,ist
_fault: f9,9lt
_favorite: fA,Av:ri,it
_favorited: fA,Av:ri:di,id
_favorites: fA,Av:ri,its
_fear: fE,Er
_feared: fE,Erd
_fearing: fE,Er:r1,1ng
_fears: fE,Ers
_feature: fE:ch3
_featured: fE:ch3,3d
_features: fE:ch3,3z
_featuring: fE:ch3:r1,1ng
_federal: fe:d3:rO,Ol
_federals: fe:d3:rO,Ols
_fee: fE
_feed: fe,ed
_feeding: fE:d1,1ng
_feeds: fE,Eds
_feel: fE,El
_feeling: fE:l1,1ng
_feelings: fE:l1,1ngz
_feels: fE,Els
_fees: fE,Es
_feet: fE,Et
_feets: fE,Ets
_fell: fe,el
_felt: fe,elt
_female: fE:m9,9l
_females: fE:m9,9lz
_few: fU
_fewer: fU:3
_fewest: fU:i,ist
_field: fE,Eld
_fields: fE,Elds
_fight: fI,It
_fights: fI,Its
_figure: fi,ig:y3
_figured: fi,ig:y3,3d
_figures: fi,ig:y3,3z
_file: fI:y0,0l
_filed: fI:y0,0ld
_files: fI:y0,0ls
_filing: fI:l1,1ng
_fill: fi,il
_filled: fi,ild
_fills: fi,ils
_film: fi,ilm
_filmed: fi,ilmd
_films: fi,ilms
_final: fI:n0,0l
_finally: fI:nu:lE
_finals: fI:n0,0ls
_financial: fI:n&,&n:sh0,0l
_financials: fI:n&,&n:sh0,0ls
_find: fI,Ind
_finding: fI,In:d1,1ng
_finds: fI,Inds
_fine: fI,In
_fines: fI,Ins
_finger: f1,in:g3
_fingered: f1,in:g3,3d
_fingering: f1,in:g3:r1,1ng
_fingers: f1,in:g3,3z
_finish: fi:ni,ish
_finished: fi:ni,ishd
_finishes: fi:ni:shi,iz
_finishing: fi:ni:sh1,1ng
_fire: fI:y3
_fired: fI:y3,3d
_fires: fI:y3,3z
_firm: fi,irm
_firmer: fi,ir:m3
_firmest: fi,ir:mi,ist
_first: f3,3st
_firsts: f3,3sts
_fish: fi,ish
_fishes: fi:shi,iz
_fishing: fi:sh1,1ng
_fit: fi,it
_fits: fi,its
_fitting: fi:t1,1ng
_five: fI,Iv
_fives: fI,Ivz
_fix: fi,iks
_fixed: fi,iksd
_fixes: fi,ik:si,iz
_fixing: fi,ik:s1,1ng
_flames: flA,Amz
_flew: flU
_flies: flI,Iz
_flight: flI,It
_flights: flI,Its
_floor: fl0,0r
_floored: fl0,0rd
_floors: fl0,0rs
_flow: flO
_flowed: flO,Od
_flower: fl8:3
_flowers: fl8:3,3s
_flowing: flO:1,1ng
_flows: flO,Oz
_fluid: flo:i,id
_fly: flI
_flying: flI:1,1ng
_flys: flI,Iz
_focus: fO:ki,is
_focused: fO:ki,isd
_focuses: fO:ki:si,iz
_folk: fO,Ok
_folks: fO,Oks
_follow: fa:lO
_followed: fa:lO,Od
_follower: fa:lO:w3
_followers: fa:lO:w3,3s
_following: fa:lO:i,ing
_follows: fa:lO,Os
_food: fo,od
_foods: fo,ods
_foot: f6,6t
_football: f6,6t:b9,9l
_footballs: f6,6t:b9,9ls
_for: f0,0r
_force: f0,0rs
_forced: f0,0rsd
_forces: f0,0r:si,is
_foreign: f0,0r:ri,in
_foreigner: f0,0r:ri:n3
_forest: f0,0r:ri,ist
_forests: f0,0r:ri,ists
_forever: f0,0r:e:v3
_forget: f0,0r:ge,et
_forgets: f0,0r:ge,ets
_forgetting: f0,0r:ge:t1,1ng
_forgive: f0,0r:gi,iv
_forgot: f0,0r:ga,at
_forgotten: f0,0r:ga:t1,1n
_form: f0,0rm
_formality: f0,0r:m@:li:ddE
_formed: f0,0rmd
_former: f0,0r:m3
_formers: f0,0r:m3,3z
_forms: f0,0rms
_forth: f0,0rth
_forths: f0,0rths
_fortune: f0,0r:chi,in
_forward: f0,0r:w3,3d
_forwards: f0,0r:w3,3ds
_fought: f9,9t
_found: f8,8nd
_four: f0,0r
_fours: f0,0rs
_fourth: f0,0rth
_fourths: f0,0rths
_frail: fr9,9l
_frame: frA,Am
_framed: frA,Amd
_frames: frA,Ams
_framing: frA:m1,1ng
_free: frE
_freed: frE,Ed
_freedom: frE:du,um
_freedoms: frE:du,ums
_frees: frE,Es
_freezing: frE:z1,1ng
_french: fre,ench
_frequently: frE:kwi,int:lE
_fresh: fre,esh
_fresher: fre:sh3
_freshest: fre:shi,ist
_friend: fre,end
_friended: fre,en:di,id
_friendly: fre,end:lE
_friends: fre,ends
_from: fru,um
_front: fru,unt
_fronts: fru,unts
_fruit: fro,ot
_fruits: fro,ots
_fruity: fro:ddE
_fuck: fu,uk
_fucked: fu,ukt
_fuel: fU,Ul
_fueled: fU,Uld
_fueling: fU,Ul:l1,1ng
_fuels: fU,Uls
_full: f0,0l
_fuller: f0,0l:l3
_fullest: f0,0l:li,ist
_fully: f0:lE
_fun: fu,un
_function: fu,unk:shi,in
_functional: fu,unk:shi:n0,0l
_functioning: fu,unk:shi:n1,1ng
_functions: fu,unk:shi,ins
_fund: fu,und
_funded: fu,un:di,id
_funds: fu,unds
_funnier: fu:nE:3
_funnies: fu:nE,Ez
_funniest: fu:nE:i,ist
_funny: fu:nE
_future: fU:ch3
_futures: fU:ch3,3z
_gain: gA,An
